famille,action,outil_mcp,titre,description,engagement,repetable,rangs_batterie
core,ai.localState,ai_localState,Lire le runtime IA local,"Rend les candidats IA locaux, leur installation et chargement, les rôles, l’adéquation à la machine, les téléchargements et l’état du runtime.",none,True,43.11
core,ai.manageLocalRuntime,ai_manageLocalRuntime,Gérer le runtime IA local,"Choisit, installe, retire, charge ou décharge un candidat IA local, ou lit et répare son runtime. Lire d’abord ai.localState. Toute opération sauf la lecture du moteur modifie le studio et demande confirmation.",none,True,43.12
core,command.runStudioCommand,command_runStudioCommand,Lancer une commande,"Déclenche une commande du studio par son identifiant, exactement comme un raccourci clavier ou une entrée de menu. Le document visé doit être devant. Un identifiant s’écrit <portée>.<verbe>, et studio.state répond la portée de ce qui est devant : reprendre une modification d’un document, c’est <portée>.undo — scene.undo, canvas.undo, sequence.undo — et la remettre <portée>.redo. UN appel reprend UN geste, donc un second reprend celui d’avant : relire le document plutôt que de l’envoyer deux fois. Aucune autre action n’annule une modification, files.undoFileOperation ne couvrant que les fichiers du projet.",none,False,"45.1,10.9,71.3"
core,workspace.open,workspace_open,Ouvrir un espace,"Bascule vers un espace de travail, et y crée un document si on le demande — un NOUVEAU à chaque fois, ce n’est donc pas le chemin de retour vers un document déjà ouvert. Donnez toujours un nom : sans lui, une fenêtre de nommage s’ouvre et l’appel attend une personne.",none,True,"5.1,5.2,5.3"
core,models.search,models_search,Chercher un modèle,"Cherche un moteur de génération par nom ou identifiant, famille et opération. La requête est facultative et nomme le moteur, pas le contenu à générer ; si aucun moteur n’y correspond, la famille compatible reste proposée. Ne change rien à l’écran.",none,True,20.1
core,models.select,models_select,Choisir un modèle,Arme un modèle pour une famille de génération. Le formulaire du Générateur se reconstruit alors sur les champs de ce modèle.,none,False,20.1
core,generator.prepare,generator_prepare,Préparer une génération,"Remplit le formulaire du Générateur avec un modèle et ses paramètres, puis l’affiche. Rien n’est envoyé.",none,True,"20.1,22.1,66.1,66.2,66.3,66.4"
core,generator.readArmedGeneration,generator_readArmedGeneration,Lire ce qui est armé,"Rend le modèle, l’opération, les sources et la destination du Générateur tel qu’il est armé, sans rien envoyer ni rien dépenser.",none,True,66.3
core,generator.submit,generator_submit,Lancer la génération préparée,"Envoie le formulaire tel qu’il est affiché. Dépense sur le compte qui sert ce modèle, et l’estimation est annoncée d’abord quand il y en a une.",credits,True,"20.1,20.3,20.4,21.1,21.2,21.3,21.4,22.1,24.10,66.1,66.2,66.4,68.8"
core,jobs.list,jobs_list,Lister les tâches,"Rend les générations en cours et leur avancement, tels que le studio les suit. Ne change rien à l’écran.",none,True,44.1
core,prompt.suggest,prompt_suggest,Proposer des variantes de prompt,"Réécrit une phrase en plusieurs variantes taillées pour le modèle armé dans le Générateur, avec les réglages qui vont avec. Ne consomme rien et ne change rien à l’écran.",none,True,45.5
core,prompt.translate,prompt_translate,Traduire un prompt en anglais,"Porte un texte dans la langue sur laquelle les modèles sont entraînés, et dit quelle langue il a reconnue. Ne consomme rien et ne change rien à l’écran.",none,True,45.6
core,prompt.describeStyle,prompt_describeStyle,Décrire le style des références,Lit les images de référence posées sur le formulaire du Générateur et en rend une description utilisable comme prompt. Ne consomme rien.,none,True,45.7
core,chat.close,chat_close,Refermer la conversation,"Retire la conversation de l’écran pour laisser voir le résultat. À appeler en dernier, et seulement une fois le résultat visible — jamais quand la réponse est les mots eux-mêmes, ni pendant qu’une permission est demandée.",none,False,45.3
core,actions.find,actions_find,Chercher des actions,"Cherche par mots-clés dans toutes les actions que le studio publie et rend celles qui correspondent, avec leurs champs. Ne change rien à l’écran. C’est aussi ce qui répond à « de quoi es-tu capable au sujet de X » : chercher le mot, puis dire ce qui est revenu.",none,True,45.2
target,target.select,target_select,Désigner une cible,"Désigne dans le document ouvert ce que la suite visera — un calque, un objet de scène, un clip. Prenez l’identifiant dans la liste des cibles de ce briefing. Sans elle, il n’y a rien à viser.",none,False,45.4
state,studio.state,studio_state,Lire l’état du studio,"Rend le projet ouvert, l’espace et la surface actifs, tous les documents ouverts avec celui qui est devant, le modèle armé par famille, et si le studio est connecté. À demander avant de lancer une commande, car une commande n’atteint que la surface active.",none,True,"1.1,1.4,1.9"
state,documents.list,documents_list,Lister les documents du projet,"Rend les documents éditables que porte le dossier du projet — images en calques, scènes, montages, matières — ouverts dans un onglet ou non. Les autres fichiers du projet, images et modèles compris, ne sont pas là.",none,True,1.1
state,document.open,document_open,Ouvrir un document,"Ouvre un document du dossier du projet par son chemin et le met devant, en basculant d’espace si besoin. Le chemin est celui qu’un listage a rendu.",none,False,41.1
state,document.activate,document_activate,Mettre un document devant,"Fait d’un document déjà ouvert l’onglet actif, pour que les commandes de sa surface l’atteignent. C’est la réponse à une commande refusée parce qu’elle s’adressait à une autre surface. Nommez-le par son identifiant, par son chemin, ou par le titre que le studio affiche entre guillemets — un titre que deux documents partagent n’en nomme aucun. « Rouvre X », « reviens sur X » pour un document déjà ouvert, c’est ceci, pas file.open.",none,False,"2.7,5.5"
state,document.close,document_close,Fermer un document,Ferme l’onglet d’un document ouvert. Ce qui n’a jamais atteint le disque est perdu avec lui.,none,False,5.4
state,document.rename,document_rename,Renommer un document,"Appelle un document autrement, sur le disque et à l’écran d’un même geste. Le document garde son identité, et un onglet ouvert se renomme sans se fermer.",files,True,41.2
state,document.save,document_save,Enregistrer un document,"Écrit le document nommé dans le projet, et attend que ce soit fait. Sans identifiant, c’est celui qui est devant. Répond si quelque chose a été écrit, car un onglet intact n’a rien à écrire et ce n’est pas un échec.",files,True,41.3
state,document.deleteFromDisk,document_deleteFromDisk,Supprimer un document,"Retire du projet le fichier du document, puis ferme son onglet. Le travail non enregistré part avec lui, puisque le fichier s’en va — l’enregistrer avant de le détruire n’aurait pas de sens.",files,True,41.4
state,document.export,document_export,Exporter le document devant dans le projet,"Écrit le document devant — image, scène, ciel, matière ou montage — dans un dossier du projet, portant son titre à défaut d’un nom donné. Un montage sort en OpenTimelineIO, c’est-à-dire la coupe et non un film — le rendu image par image demande une session que rien d’extérieur ne peut tenir. La destination ne peut pas sortir du projet.",files,True,41.5
state,activity.recent,activity_recent,Lire l’activité récente,"Rend ce que le studio a consigné dernièrement — générations, opérations sur les fichiers, échecs — du plus récent au plus ancien. C’est ainsi qu’on apprend ce qu’une action a réellement fait. Comment une génération s’est PASSÉE est job.readCloudGeneration, qui la rend entière.",none,True,42.3
file,projects.list,projects_list,Lister les projets récents,"Rend les projets récents dans l’ordre où le studio les affiche, chacun avec le chemin absolu qui l’ouvre — passer ce chemin à project.open.",none,True,41.11
file,project.open,project_open,Ouvrir un dossier de projet,"Ouvre un projet depuis un chemin absolu de cette machine, sans lever le dialogue système qu’une personne utiliserait. Répond si le dossier était bien un projet.",studio,False,"41.7,41.11"
file,project.close,project_close,Fermer le projet ouvert,Referme le projet ouvert et laisse le studio sans projet : les panneaux se vident et le catalogue cesse de répondre. Le dossier n’est pas touché et reste dans les projets récents.,none,False,41.9
file,project.create,project_create,Créer un dossier de projet,"Crée un projet et l’ouvre, sans lever le dialogue système qu’une personne utiliserait. Un NOM suffit — le studio le pose là où cette personne range ses projets, indiqué plus haut. Le champ folder dit dans quel dossier le créer, quand la phrase en nomme un. Pour laisser le choix de l’emplacement, appeler quand même l’action : sa confirmation porte un bouton qui ouvre le sélecteur du système et remplit le champ folder.",studio,False,"41.6,41.10"
file,project.forget,project_forget,Retirer un projet des projets récents,"Retire un projet de la liste des projets récents, qui n’est qu’une liste de raccourcis. LE DOSSIER N’EST PAS TOUCHÉ et rien n’est effacé : rouvrir le projet remet la ligne. Pour mettre le dossier à la corbeille, c’est project.trash. Nommé par le chemin absolu que projects.list rend.",studio,False,41.12
file,project.trash,project_trash,Mettre un projet à la corbeille,"Met à la corbeille du système le DOSSIER du projet et tout ce qu’il contient — documents, assets, catalogue. Rien dans le studio ne revient dessus : seule la corbeille du système peut le rendre. Le projet est refermé s’il était ouvert, et sa ligne quitte les projets récents. Pour seulement retirer la ligne sans toucher au dossier, c’est project.forget. Nommé par le chemin absolu que projects.list rend.",studio,False,41.13
file,file.open,file_open,Ouvrir un fichier du projet,"Ouvre n’importe quel fichier du dossier du projet — une image, un modèle 3D, une matière, un document — dans l’espace qui l’édite, comme un double-clic dans l’Explorateur. Un fichier qu’aucun éditeur d’ici ne prend est confié au programme auquel il appartient.",none,False,"2.1,2.2,2.3,2.4,2.5,2.6,22.3,66.2"
file,files.list,files_list,Lister un dossier,"Rend les entrées d’un dossier du projet ouvert, fichiers comme dossiers, avec le chemin sous lequel chacune est connue. Sans dossier donné, liste la racine du projet.",none,True,1.2
file,files.search,files_search,Chercher dans les fichiers du projet,"Cherche dans tout le projet ouvert par le nom et rend les entrées trouvées avec leur chemin. Ne change rien à l’écran. Trouver n’est pas ouvrir : file.open ouvre ce qui a été trouvé, et file.rename le renomme.",none,True,"1.2,3.1"
file,files.move,files_move,Déplacer des fichiers,"Déplace des fichiers et des dossiers du projet vers un autre de ses dossiers. Le disque change, mais l’Explorateur peut encore l’annuler ensuite.",files,True,4.5
file,files.copy,files_copy,Copier des fichiers,"Copie des fichiers et des dossiers du projet vers un autre de ses dossiers, en laissant les originaux où ils sont.",none,True,42.1
file,files.duplicate,files_duplicate,Dupliquer des fichiers,"Crée une copie de chaque fichier ou dossier nommé, à côté de lui, sous un nom que le studio choisit pour n’écraser personne.",none,True,"4.3,18.1"
file,files.trash,files_trash,Mettre des fichiers à la corbeille,Envoie des fichiers et des dossiers du projet à la corbeille du système. Ce qui a été emporté figure dans l’activité récente.,files,True,"4.7,4.8,30.4"
file,file.rename,file_rename,Renommer un fichier,"Donne un autre nom à un fichier ou un dossier du projet, dans le dossier où il se trouve déjà. Un autre programme le connaît peut-être sous l’ancien.",files,True,"4.4,18.2"
file,file.facts,file_facts,Lire les faits d’un fichier,"Rend ce que le disque consigne d’une entrée — sa nature, sa taille en octets, sa création et sa dernière modification. Ne change rien à l’écran.",none,True,4.6
file,folder.new,folder_new,Créer un dossier,"Crée un dossier dans un dossier du projet ouvert. Répond avec le chemin qui lui a été donné, qui peut différer si le nom était pris.",none,True,"4.1,4.2"
file,files.undoFileOperation,files_undoFileOperation,Annuler le dernier lot de fichiers,"Reprend le dernier déplacement, renommage ou duplication de fichiers du projet. La pile vit dans le processus principal et vaut pour toutes les fenêtres, mais une mise à la corbeille ne se reprend pas.",files,True,"29.2,29.3,29.5,29.6"
file,files.redoFileOperation,files_redoFileOperation,Refaire le dernier lot de fichiers,"Rejoue le lot de fichiers qui venait d’être annulé, exactement comme le fait l’Explorateur. Répond avec ce qui a bougé et ce qui a été refusé.",files,True,42.4
file,files.canUndoRedo,files_canUndoRedo,Lire la pile des gestes de fichiers,"Dit si annuler ou refaire ferait quelque chose, sans rien tenter. C’est ce qui grise les deux entrées de menu avant qu’on ne clique dessus.",none,True,42.2
file,file.reveal,file_reveal,Montrer un fichier dans le gestionnaire de fichiers,"Ouvre le Finder ou l’explorateur du système sur le fichier nommé, sélectionné. Le chemin ne sort jamais du processus principal.",none,False,42.5
file,project.rename,project_rename,Renommer un projet,"Renomme un projet, ce qui DÉPLACE son dossier : un projet est nommé par son dossier et par rien d’autre. Le contenu suit, rien n’est effacé. Nommé par le chemin absolu que projects.list rend, donc même fermé — et le chemin répondu est le NOUVEAU.",studio,False,41.8
job,models.readGenerationModelFields,models_readGenerationModelFields,Lire les entrées d’un modèle,"Rend les champs qu’un modèle de génération accepte, avec leur nature et leurs bornes, tels que le studio en construit son formulaire. C’est de quoi remplir les paramètres d’une génération préparée.",none,True,44.5
job,cost.estimate,cost_estimate,Estimer ce que coûterait une génération,"Chiffre un modèle et un jeu de paramètres sans rien lancer. Ses paramètres prennent la forme que rend models_readGenerationModelFields. Ne répond aucun montant là où l’API refuse de chiffrer ce modèle, plutôt que d’inventer un nombre.",none,True,44.6
job,job.readCloudGeneration,job_readCloudGeneration,Lire une tâche,"Répond une génération entière — son état, où elle en est, ce qu’elle a produit, ce qu’elle a coûté et pourquoi elle a échoué le cas échéant. Demandé « le résultat de ma dernière génération », c’est ceci qui dit comment elle s’est PASSÉE ; l’image ou le modèle 3D qu’elle a produit est dans le catalogue du projet.",none,True,44.2
job,job.waitForCloudGeneration,job_waitForCloudGeneration,Attendre la fin d’une tâche,"Attend qu’une génération réussisse, échoue ou soit annulée, puis la rend avec les assets produits. Rend la tâche telle quelle si l’attente expire, ce qui est une réponse et non un échec.",none,True,20.1
