family,action,mcp_tool,design_cases,source,fr,en,ar,de,es,hi,id,it,ja,ko,pt,ru,tr,vi,zh
core,ai.localState,ai_localState,7,scenarios/core.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
core,ai.manageLocalRuntime,ai_manageLocalRuntime,69,scenarios/core.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
core,command.runStudioCommand,command_runStudioCommand,160,scenarios/core.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
core,workspace.open,workspace_open,41,scenarios/core.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
core,models.search,models_search,27,scenarios/core.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
core,models.select,models_select,25,scenarios/core.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
core,generator.prepare,generator_prepare,30,scenarios/core.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
core,generator.readArmedGeneration,generator_readArmedGeneration,7,scenarios/core.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
core,generator.submit,generator_submit,14,scenarios/core.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
core,jobs.list,jobs_list,7,scenarios/core.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
core,prompt.suggest,prompt_suggest,9,scenarios/core.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
core,prompt.translate,prompt_translate,9,scenarios/core.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
core,prompt.describeStyle,prompt_describeStyle,7,scenarios/core.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
core,chat.close,chat_close,7,scenarios/core.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
core,actions.find,actions_find,10,scenarios/core.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
target,target.select,target_select,11,scenarios/target.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
state,studio.state,studio_state,7,scenarios/state.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
state,documents.list,documents_list,7,scenarios/state.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
state,document.open,document_open,10,scenarios/state.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
state,document.activate,document_activate,11,scenarios/state.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
state,document.close,document_close,11,scenarios/state.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
state,document.rename,document_rename,14,scenarios/state.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
state,document.save,document_save,11,scenarios/state.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
state,document.deleteFromDisk,document_deleteFromDisk,11,scenarios/state.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
state,document.export,document_export,35,scenarios/state.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
state,activity.recent,activity_recent,9,scenarios/state.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
file,projects.list,projects_list,7,scenarios/file.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
file,project.open,project_open,12,scenarios/file.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
file,project.close,project_close,8,scenarios/file.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
file,project.create,project_create,15,scenarios/file.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
file,project.forget,project_forget,12,scenarios/file.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
file,project.trash,project_trash,12,scenarios/file.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
file,file.open,file_open,10,scenarios/file.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
file,files.list,files_list,13,scenarios/file.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
file,files.search,files_search,13,scenarios/file.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
file,files.move,files_move,15,scenarios/file.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
file,files.copy,files_copy,14,scenarios/file.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
file,files.duplicate,files_duplicate,11,scenarios/file.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
file,files.trash,files_trash,12,scenarios/file.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
file,file.rename,file_rename,14,scenarios/file.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
file,file.facts,file_facts,10,scenarios/file.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
file,folder.new,folder_new,13,scenarios/file.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
file,files.undoFileOperation,files_undoFileOperation,8,scenarios/file.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
file,files.redoFileOperation,files_redoFileOperation,8,scenarios/file.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
file,files.canUndoRedo,files_canUndoRedo,7,scenarios/file.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
file,file.reveal,file_reveal,10,scenarios/file.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
file,project.rename,project_rename,15,scenarios/file.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
job,models.readGenerationModelFields,models_readGenerationModelFields,11,scenarios/job.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
job,cost.estimate,cost_estimate,12,scenarios/job.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
job,job.readCloudGeneration,job_readCloudGeneration,10,scenarios/job.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
job,job.waitForCloudGeneration,job_waitForCloudGeneration,12,scenarios/job.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
job,job.cancelCloudGeneration,job_cancelCloudGeneration,10,scenarios/job.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
job,task.cancelLocalTask,task_cancelLocalTask,10,scenarios/job.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
job,usage.report,usage_report,13,scenarios/job.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
asset,assets.searchProjectCatalogue,assets_searchProjectCatalogue,30,scenarios/asset.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
asset,assets.counts,assets_counts,7,scenarios/asset.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
asset,asset.get,asset_get,11,scenarios/asset.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
asset,asset.update,asset_update,27,scenarios/asset.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
asset,assets.removeFromLibrary,assets_removeFromLibrary,16,scenarios/asset.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
asset,assets.captionImages,assets_captionImages,11,scenarios/asset.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
asset,asset.extractTextures,asset_extractTextures,11,scenarios/asset.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
asset,asset.reveal,asset_reveal,10,scenarios/asset.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
asset,assets.listMissing,assets_listMissing,11,scenarios/asset.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
cloud,cloud.browseAccountLibrary,cloud_browseAccountLibrary,34,scenarios/cloud.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
cloud,cloud.explorePublicFeed,cloud_explorePublicFeed,21,scenarios/cloud.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
cloud,cloud.findSimilarPublished,cloud_findSimilarPublished,10,scenarios/cloud.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
cloud,cloud.previewSync,cloud_previewSync,17,scenarios/cloud.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
cloud,cloud.pull,cloud_pull,11,scenarios/cloud.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
cloud,cloud.push,cloud_push,12,scenarios/cloud.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
canvas,canvas.state,canvas_state,8,scenarios/canvas.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
canvas,canvas.setDocumentProperties,canvas_setDocumentProperties,23,scenarios/canvas.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
canvas,layer.add,layer_add,52,scenarios/canvas.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
canvas,layer.remove,layer_remove,11,scenarios/canvas.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
canvas,layer.select,layer_select,11,scenarios/canvas.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
canvas,layer.rename,layer_rename,14,scenarios/canvas.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
canvas,layer.setOpacityBlendAndVisibility,layer_setOpacityBlendAndVisibility,46,scenarios/canvas.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
canvas,layer.transform,layer_transform,29,scenarios/canvas.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
canvas,layer.editTextLayer,layer_editTextLayer,48,scenarios/canvas.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
canvas,layer.reorderInStack,layer_reorderInStack,16,scenarios/canvas.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
canvas,layer.duplicate,layer_duplicate,14,scenarios/canvas.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
